Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Miyagikyo Rum Wood Finish (bottled 2017),Miyagikyo,Japan,Miyagikyo,Japanese Whisky,0.0,0.0,70,46,165.0,0,"Heavy oak influence, maple syrup, pepper spice, creamy vanilla, lemon zest, herbaceous notes and a scattering of tobacco.","Oak spice, bergamot and fresh tropical fruits return.","Lemon peel, new leather, mineral notes, a drizzle of floral honey, sugared almonds and fresh tropical fruit.","(70cl, 46%)"
The English - Smokey Oak,The English Whisky Co,England,The English Whisky Co,English Whisky,2.5,1.0,70,46,58.27,0,"More rich peat, paprika, smoke meat, warming root ginger and candied lemon.","The smoke continues into a lengthy, dry finish.","Cured meat surrounded by thick peat smoke, with a dash of lemon juice livening it up.","(70cl, 46%)"
Ardnamurchan AD/07.21:05,Ardnamurchan,Scotland,Ardnamurchan,Scotch Whisky,4.5,2.0,70,46,45.0,0,"Caramelised nuts, whispers of fruity sherry and macadamia nuts, a core of savoury peat building.","Subtle sea breeze salinity, juxtaposed by dried fruit and orange zest.","Toasted brown sugar and earthy barley, with a good hint of charred oak underneath.","(70cl, 46.8%)"
Glenfarclas 1997 (bottled 2018) Premium Edition,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,0.0,0.0,70,46,79.95,0,"Christmas cake, hazelnut spread, dates and clove.","more clove, now paired with ginger and green apple.","Biscotti, melted chocolate and some toasty oak warmth.","(70cl, 46%)"
Linkwood 2008 (bottled 2018) - Malts of Scotland,Linkwood,Scotland,Malts of Scotland,Scotch Whisky,0.0,0.0,70,53,91.95,0,"Oak spice, chocolate covered nuts, sweet malt, freshly baked bread and lemon meringue pie.",Treacle tart with a dash of citrus.,"Dried apricot, orange marmalade, cookie dough and oodles of dried berries.","(70cl, 53.8%)"
Springbank 21 Year Old (2022 Release),Springbank,Scotland,Springbank,Scotch Whisky,0.0,0.0,70,46,260.0,0,"Jammy red berry sweetness mingles with dark salted chocolate and runny caramel, with softly spiced gingerbread joining later on.","Vanilla, maple, and orange zest arrive towards the end, while the coastal salinity comes to the fore.","Sticky ginger cake and dark forest fruits lead the way, with leathery oak and toffee in tow.","(70cl, 46%)"
Peerless 5 Year Old Single Barrel Rye,Peerless,United States,Peerless,American Whiskey,0.0,0.0,70,57,79.94,0,The fruity core continues with baked apples and toasted nuts. Charred oak and peppery rye bring notes of stem ginger with earthy undertones and hints of zesty herbs.,"Floral honey notes and toffee popcorn are followed by zesty orange, clove, and bold oak spice.","Sweet orchard fruits, crisp green apples, and crushed peanuts welcome the way for an array of rich baking spice, with wafts of vanilla and toffee.","(70cl, 57%)"
Brackla 7 Year Old 2011 - Whisky Galore,Brackla,Scotland,Whisky Galore,Scotch Whisky,0.0,0.0,70,46,49.95,0,"Spiced milk chocolate, with candied citrus, vanilla custard and lots of ripe orchard fruit.",Grassy oak and a drizzle of caramel.,"Nougat and spiced, stewed apple, with almond croissant and a good helping of honey.","(70cl, 46%)"
Yoichi Rum Wood Finish (bottled 2017),Yoichi,Japan,Yoichi,Japanese Whisky,0.0,0.0,70,46,165.0,0,"Delicate peat smoke, aromatic spices out in force with cinnamon, cardamom and clove, toasted coconut and coconut cream, candied ginger and malt notes.",A lengthy finish of slightly bitter mustard seeds and a dusting of cocoa.,"Tropical fruits galore, notably pineapple and banana, with menthol, lemon sweeties and a kick of fresh ginger.","(70cl, 46%)"
Johnnie Walker 18 Year Old Gift Pack with 2x Glasses,Johnnie Walker,Scotland,Johnnie Walker,Scotch Whisky,0.0,0.0,70,40,69.9,1,"Peanut brittle, candied peels, plump sultana, a whisper of floral malt gives it an aromatic mid-palate, before giving way to a whisper of dry, earthy smoke.","Another wave of honey, with a soft hint of cinnamon spiciness.","Honeyed cereals, Cadbury's Fruit and Nut, distant bonfire smoke, clementine and spring blossom.","(70cl, 40%)"
Nc'nean Quiet Rebels - Annabel,Nc'nean,Scotland,Nc'nean,Scotch Whisky,3.5,1.0,70,48,69.95,0,"Fragrant vanilla, with a floral touch to it, balanced by barley sugar, coconut, and ginger.","Softly fruity on the finish, plus hints of vanilla remain.","Cherry Bakewells, honeycomb, and a flash of papaya.","(70cl, 48.5%)"
The English - Lest We Forget 2022,The English Whisky Co,England,The English Whisky Co,English Whisky,0.0,0.0,70,43,55.25,0,"Butterscotch, lemon peel, smoked honey, and dark chocolate.",A little marzipan and nutmeg.,"Old leather, bonfire smoke, marmalade, and vanilla.","(70cl, 43%)"
The Glenturret 15 Year Old (2022 Release),Glenturret,Scotland,Glenturret,Scotch Whisky,0.0,0.0,70,53,125.0,0,"Woody vanilla and lemon drizzle cake open the way, with sultanas and prunes in tow. Roasted malt and hearty oak bring notes of cacao and pepper.","Cinnamon, clove, and warming layers of charred oak are joined by poached apple and vanilla custard.","Honeyed flapjack packed with raisins, zesty citrus peels, and a touch of charred pineapple, followed by whispers of oak spice.","(70cl, 53%)"
Glenfarclas 2007 (bottled 2018) Premium Edition,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,0.0,0.0,70,46,64.7,0,"Big old fashioned Sherry matured character with fruitcake, ginger root and nutty Oloroso.","Cocoa, vanilla and subtle charred oak.","Rich dried fruits, finely chopped nuts and grated nutmeg, then flamed orange peel and brown sugar underneath.","(70cl, 46%)"
Imperial 24 Year Old 1995 - Single & Single,Imperial,Scotland,Single & Single,Scotch Whisky,4.5,3.0,70,49,192.78,0,"Oily walnut and anise, with chocolate-coated peanuts and green oak.",Waxy peels and a hint of honey.,"Ginger cake and oat and raisin cookies, supported by cooked apple.","(70cl, 49.2%)"
Benromach Cask Strength 2008 (bottled 2019),Benromach,Scotland,Benromach,Scotch Whisky,4.5,3.0,70,57,56.95,0,"Black pepper and fresh strawberries intertwine, with creamy fruit and nut milk chocolate, banana bread, smoked orange peel and waxy citrus.",More of that milk chocolate lingers with salted caramel and bonfire smoke.,"Loads of sherry aromas alongside toasty oak, sweet vanilla custard and stewed orchard fruit, with a balanced light herbaceous undertone.","(70cl, 57.9%)"
The One Port Cask Finished,The Lakes Distillery,England,The Lakes Distillery,English Whisky,3.5,4.0,70,46,44.0,0,"Warming and spicy, with a crack of black pepper alongside nutmeg and cinnamon, with orange oil, roasted nuts and berries.","Tangy sour cherry returns, with clove and a hint of pepper.","Rich and smoky, with honey, dried sour cherries, raisin and plum, with an oily nuttiness.","(70cl, 46.6%)"
Tomatin 12 Year Old  â 125th Anniversary,Tomatin,Scotland,Tomatin,Scotch Whisky,0.0,0.0,70,43,35.99,0,"Nutty barley and creamy butter, plus more dried fruit. A smidge of ginger later on.",Sweet red fruit notes and balancing touches of dry oak.,"Sultana, caramel, a fresh hint of juicy pear and apple.","(70cl, 43%)"
SmÃ¶gen 8 Year Old 2011,SmÃ¶gen,Sweden,SmÃ¶gen,Swedish Whisky,0.0,0.0,50,57,101.95,0,"Wonderfully creamy, earthy vanilla pod and more of that fruit returning. Grassy, earthy, smokey richness develops.","A very long finish, sweet tropical fruit appearing alongside vanilla and more peat.","Juicy and fruity, with ripe plum, nectarine and peach, buttery vanilla pastry and delicate florals, with a refreshing menthol note.","(50cl, 57.8%)"
The GlenDronach 26 Year 1992 (cask 8316),GlenDronach,Scotland,GlenDronach,Scotch Whisky,0.0,0.0,70,51,450.0,0,"The refreshing attack on the palate is also bright and sunny. Mango, date and apricot appear alongside floral notes (rose).","Precise and enveloped in a veil of smoke, the finish is vegetal (bay leaf) and candied (lemon).","The silky initial nose is characterized by notes of fig and acacia honey. Allowed to breathe, it becomes herbaceous (verbena), spicy and floral (lavender), even flirting with peat.","(70cl, 51.8%)"
Benriach 22 Year Old Albariza - Peated,Benriach,Scotland,Benriach,Scotch Whisky,4.5,1.0,70,46,119.95,0,"Sweet Mirabella peppers, black cherry and ripe figs rise but don't dominate, as licks of vanilla, campfire peat and a pricks of white pepper fill out a deep palate.","Long, with some menthol, honey and dark chocolate.","Sherry sweetness breaks through light leather, chicory and smoky oak. Some red meat and sweet barley lingers.","(70cl, 46%)"
The GlenDronach 10 Year Old Port Wood,GlenDronach,Scotland,GlenDronach,Scotch Whisky,5.0,5.0,70,46,56.95,0,"Brandied cherries, blackcurrant and chocolate digestive biscuits.","Honey, biscotti, raisin and orange zest.","Huge helpings of dried fruit, mixed with aromatic oak and strawberry jam.","(70cl, 46%)"
Supersonic Mach 2 - North Star Spirits,North Star Spirits,Scotland,North Star Spirits,Scotch Whisky,0.0,0.0,70,50,41.95,0,"Apple, pear, and blackcurrant, with a drizzle of coffee.",Lasting hints of orange peel and jammy sultanas.,"Almonds, dates, a good chunk of chocolate, and malty bread.","(70cl, 50%)"
Bunnahabhain 17 Year Old 2002 - Single & Single,Bunnahabhain,Scotland,Single & Single,Scotch Whisky,5.0,1.0,70,54,219.95,0,"Notes of white and milk chocolate, with banana pancakes and a crack of black pepper.",A whiff of sea breeze lingers alongside a pinch of tobacco and ginger cake.,"Set honey and barrel spice, with buttery croissant and marmalade.","(70cl, 54%)"
963 Malt & Grain (58%),Yamazakura,Japan,Yamazakura,Japanese Whisky,0.0,0.0,70,58,46.84,0,"More sugary notes, with sugared almond, candied orange and vanilla fudge.",Gentle oak spice appears on the finish alongside vanilla pod.,"Barley sugar and vanilla icing, with floral honey and key lime pie.","(70cl, 58%)"
Benromach Cask Strength 2009 (bottled 2019),Benromach,Scotland,Benromach,Scotch Whisky,5.0,2.0,70,58,59.95,0,"Set honey, waxy peels and stewed orchard fruit, with a delicate suggestion of peat smoke throughout.",Chocolate-coated raisin lingers alongside a smouldering bonfire.,"Lots of sherry influence alongside creamy vanilla, cooked apple and a hint of candle wax.","(70cl, 58.8%)"
